"106 03る 祇︽秖舦基计菌戈"
"ら戳","秨絃计","程蔼计","程计","Μ絃计"
" 106/03/01"," 9,751.12"," 9,758.78"," 9,674.78"," 9,674.78"
" 106/03/02"," 9,727.60"," 9,774.60"," 9,646.34"," 9,691.80"
" 106/03/03"," 9,672.26"," 9,679.82"," 9,633.88"," 9,648.21"
" 106/03/06"," 9,647.00"," 9,688.50"," 9,647.00"," 9,682.63"
" 106/03/07"," 9,690.26"," 9,738.07"," 9,690.20"," 9,738.07"
" 106/03/08"," 9,744.26"," 9,773.49"," 9,712.50"," 9,753.45"
" 106/03/09"," 9,740.05"," 9,743.78"," 9,650.32"," 9,658.61"
" 106/03/10"," 9,653.79"," 9,656.65"," 9,562.75"," 9,627.89"
" 106/03/13"," 9,656.56"," 9,697.34"," 9,656.56"," 9,697.34"
" 106/03/14"," 9,720.53"," 9,767.66"," 9,720.53"," 9,744.21"
" 106/03/15"," 9,741.29"," 9,749.01"," 9,714.58"," 9,740.31"
" 106/03/16"," 9,768.85"," 9,842.17"," 9,768.85"," 9,837.83"
" 106/03/17"," 9,845.59"," 9,908.69"," 9,835.51"," 9,908.69"
" 106/03/20"," 9,905.81"," 9,916.18"," 9,869.35"," 9,912.97"
" 106/03/21"," 9,923.18"," 9,976.61"," 9,918.39"," 9,972.49"
" 106/03/22"," 9,911.96"," 9,922.66"," 9,843.07"," 9,922.66"
" 106/03/23"," 9,921.97"," 9,945.24"," 9,897.45"," 9,930.74"
" 106/03/24"," 9,914.12"," 9,932.68"," 9,892.31"," 9,902.98"
""
